City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,banda aceh,5.5577,95.3222,31.16,59,99,6.62,ID,1690258998
83,energetik,51.7445,58.7934,23.13,46,100,2.77,RU,1690259499
84,walvis bay,-22.9575,14.5053,11.72,100,100,4.63,NA,1690258980
85,west island,-12.1568,96.8225,26.99,65,75,8.23,CC,1690258700
86,santa elena de uairen,4.6167,-61.1333,20.16,90,89,0.96,VE,1690258916
87,ilulissat,69.2167,-51.1,5.01,93,36,1.54,GL,1690258944
88,merizo village,13.2658,144.6691,29.43,88,100,5.9,GU,1690259500
89,ongjin,37.9347,125.3619,27.2,82,48,5.23,KP,1690259500
90,alto barinas,8.5931,-70.2261,22.26,94,18,1.16,VE,1690259501
91,gamba,-2.65,10.0,20.79,94,20,0.72,GA,1690258905
92,bayanhongor,46.7167,100.1167,19.58,37,76,2.64,MN,1690259036
93,la passe,45.5549,-0.8967,16.66,70,100,8.1,FR,1690258906
94,hithadhoo,-0.6,73.0833,28.2,78,100,7.41,MV,1690258960
95,petropavl,54.8753,69.1628,22.99,53,0,4.0,KZ,1690259503
96,hasaki,35.7333,140.8333,35.73,74,100,5.34,JP,1690258966
97,kolonia town,6.964,158.206,31.06,74,100,4.12,FM,1690259503
98,bilibino,68.0546,166.4372,12.34,84,100,0.54,RU,1690258960
99,tsetserleg,47.475,101.4542,18.97,66,71,2.67,MN,1690259503
100,kibre mengist,5.8833,38.9833,15.84,92,100,0.89,ET,1690259504
101,nemuro,43.3236,145.575,20.2,89,20,3.74,JP,1690259051
102,fortuna,40.5982,-124.1573,16.63,90,0,4.12,US,1690258992
103,bredasdorp,-34.5322,20.0403,5.92,74,0,1.99,ZA,1690258932
104,moissala,8.3404,17.7663,21.96,97,92,1.57,TD,1690259504
105,thai binh,20.45,106.3333,33.05,59,85,4.23,VN,1690259505
106,tazacorte,28.629,-17.9293,22.54,82,100,5.14,ES,1690259465
107,yellowknife,62.456,-114.3525,23.29,43,75,5.14,CA,1690258742
108,rio preto da eva,-2.6994,-59.6997,23.88,62,35,0.26,BR,1690259505
109,menongue,-14.6585,17.691,10.64,45,3,1.87,AO,1690258911
110,bairnsdale,-37.8333,147.6167,15.59,63,31,0.89,AU,1690258920
111,port lincoln,-34.7333,135.8667,14.87,68,0,4.12,AU,1690258978
112,port blair,11.6667,92.75,30.02,74,40,4.12,IN,1690259441
113,pariaman,-0.619,100.12,31.03,65,53,2.07,ID,1690259506
114,nova vicosa,-17.8919,-39.3719,20.75,90,18,1.35,BR,1690259506
115,haiku-pauwela,20.9219,-156.3051,26.01,74,20,11.32,US,1690259450
116,revelstoke,50.9832,-118.2023,24.01,41,100,5.66,CA,1690259417
117,kailua-kona,19.6406,-155.9956,28.66,81,75,2.06,US,1690259460
118,ancud,-41.8697,-73.8203,9.06,84,53,9.34,CL,1690259038
119,puerto ayora,-0.7393,-90.3518,24.75,93,55,4.02,EC,1690258914
120,invercargill,-46.4,168.35,8.03,78,68,8.04,NZ,1690258909
121,korla,41.7597,86.1469,34.52,16,43,3.92,CN,1690259507
122,kattivakkam,13.2167,80.3167,27.26,86,100,5.46,IN,1690259508
123,east london,-33.0153,27.9116,6.52,87,0,3.6,ZA,1690258957
