,City,Country,Lat,Lng,Humidity,Hotel Name
97,petropavlovsk-kamchatsky,RU,53.0452,158.6483,77,ООО Постоялый двор
98,taro,ID,-8.3862,115.28,93,Padma Resort Ubud
99,bria,CF,6.5423,21.9863,77,No hotel found
100,khirkiyan,IN,22.1667,76.85,89,No hotel found
101,la'ie,US,21.6477,-157.9253,79,No hotel found
102,malpica,ES,43.3228,-8.8105,93,Pensión Panchito
103,katsuura,JP,35.1333,140.3,83,潮騒の宿
104,edinburgh of the seven seas,SH,-37.0676,-12.3116,78,No hotel found
105,nikopol,UA,47.5712,34.3964,46,Афіна
106,saacow,SO,1.6279,42.4407,64,No hotel found
107,kingston,JM,17.997,-76.7936,67,Aphrodite Hotel
108,mizdah,LY,31.4451,12.9801,11,No hotel found
109,carnarvon,AU,-24.8667,113.6333,29,No hotel found
110,ribeira grande,PT,38.5167,-28.7,65,Hospedaria JSF
111,gampaha,LK,7.0897,79.9925,91,No hotel found
112,flin flon,CA,54.7682,-101.865,46,Copperbelt Hotel
113,enewetak,MH,11.3474,162.3373,78,No hotel found
114,pedernales,DO,18.0384,-71.744,56,Hostal Doña Chava
115,al jawf,SA,29.5,38.75,13,No hotel found
116,port saint john's,ZA,-31.6229,29.5448,79,Outback Inn
117,bandar-e lengeh,IR,26.5579,54.8807,66,Old owner do not like foreigners hotel
118,touros,BR,-5.1989,-35.4608,58,Pousada Atlântico
119,talnakh,RU,69.4865,88.3972,86,Талнах
120,loango,CG,-4.6719,11.8312,88,Hotel des Aigles
121,lihue,US,21.9789,-159.3672,90,Kauai Palms
122,olonkinbyen,SJ,70.9221,-8.7187,88,No hotel found
123,ujae,MH,8.9322,165.7642,76,No hotel found
124,choyr,MN,46.3611,108.3611,74,Сансар Хайрхан зочид буудал
125,saipan,MP,15.1355,145.701,100,Chalan Kanoa Beach Hotel
126,prabumulih,ID,-3.45,104.25,86,No hotel found
127,uzgen,KG,40.7699,73.3007,25,Кунрат
128,dryden,CA,49.7833,-92.7503,60,Holiday Inn Express
129,port alfred,ZA,-33.5906,26.891,83,No hotel found
130,cockburn town,TC,21.4612,-71.1419,66,The Salt Raker Inn
131,thompson,CA,55.7435,-97.8558,52,Thompson Inn
132,kiama,AU,-34.6833,150.8667,79,Nova Kiama
133,fale old settlement,TK,-9.3852,-171.2468,78,No hotel found
134,chibougamau,CA,49.9168,-74.3659,29,No hotel found
135,kabalo,CD,-6.05,26.9167,32,No hotel found
136,limavady,GB,55.0504,-6.9507,72,Roe Park Resort
137,tura,IN,25.5198,90.2201,94,No hotel found
138,manta,EC,-0.95,-80.7333,74,La Gaviota
139,st. john's,CA,47.5649,-52.7093,74,Alt Hotel
140,balabac,PH,7.9868,117.0645,79,No hotel found
141,hawaiian paradise park,US,19.5933,-154.9731,99,No hotel found
142,mili,MH,6.0815,171.735,79,No hotel found
143,kharp,RU,66.8014,65.8081,93,Собь
144,hobyo,SO,5.3505,48.5268,78,No hotel found
145,san patricio,US,28.017,-97.5169,38,No hotel found
146,ancud,CL,-41.8697,-73.8203,79,Cabañas
147,remire-montjoly,GF,4.9167,-52.2667,70,Complexe Belova
148,north shore,NZ,-36.8,174.75,81,Takapuna International Motor Lodge
149,sitka,US,57.0531,-135.33,88,Aspen Suites Hotel
150,severobaykal'sk,RU,55.65,109.3167,56,Черембасс
151,freetown,SL,8.484,-13.2299,80,Formal Leona hotel
152,villefranche-de-rouergue,FR,44.3333,2.0,43,Le Bellevue
153,touba,CI,8.2833,-7.6833,85,No hotel found
154,port lincoln,AU,-34.7333,135.8667,74,Boston Hotel
155,benguela,AO,-12.5763,13.4055,86,Hotel Moibela
156,kapuskasing,CA,49.4169,-82.4331,47,Travelodge
157,kerikeri,NZ,-35.2268,173.9474,91,Avalon Resort
158,gedo,ET,9.0167,37.45,95,ጨሊያ ሆቴል
159,dudinka,RU,69.4058,86.1778,81,Виктория
160,belen,TR,36.4891,36.2233,33,No hotel found
161,kirakira,SB,-10.4544,161.9205,89,No hotel found
162,holualoa,US,19.6228,-155.9522,77,Kona Hotel
163,ilulissat,GL,69.2167,-51.1,76,Best Western Plus Hotel Ilulissat
164,taseyevo,RU,57.2169,94.8978,97,No hotel found
165,taft,IR,31.7471,54.2088,12,هتل شیرکوه تفت
166,lanzhou,CN,36.0564,103.7922,78,西园宾馆
167,kapa'a,US,22.0752,-159.319,88,Pono Kai Resort
168,mahriz,IR,31.5917,54.4318,14,هتل رستوران شاه عباسی
169,atafu village,TK,-8.5421,-172.5159,78,No hotel found
170,menongue,AO,-14.6585,17.691,30,No hotel found
171,gladstone,AU,-23.85,151.25,77,Gladstone Downtown Central
172,fada,NG,9.5667,8.3,93,No hotel found
173,beruniy,UZ,41.6911,60.7525,48,Miymanxana
174,la passe,FR,45.5549,-0.8967,73,L'Estuaire
175,papatowai,NZ,-46.5619,169.4708,96,No hotel found
176,meulaboh,ID,4.1363,96.1285,86,Hotel Meuligou
177,laguna,US,38.421,-121.4238,41,Holiday Inn Express & Suites
178,waingapu,ID,-9.6567,120.2641,81,HOTEL SANDLEWOOD
179,georgetown,MY,5.4112,100.3354,91,Page 63 hostel
180,jianguang,CN,28.1938,115.7836,93,No hotel found
181,preobrazheniye,RU,42.9019,133.9064,100,No hotel found
182,asau,RO,46.4333,26.4,71,Hotel Romanița
183,singkil,ID,-7.9855,111.4161,93,No hotel found
184,polyarnyy,RU,69.1989,33.4478,86,No hotel found
185,kilindoni,TZ,-7.9139,39.6668,78,Ibizza Inn
186,northam,GB,51.0333,-4.2167,89,Durrant House Hotel
187,pangody,RU,65.85,74.4859,73,Газпром энерго
188,undurkhaan,MN,47.3194,110.6556,70,Khanburged Hotel
189,toledo,ES,39.8333,-4.0,13,Cigarral Del Pintor
190,nuku'alofa,TO,-21.1333,-175.2,73,City Hotel
191,hamilton,US,39.1834,-84.5333,51,North Vista Manor
192,knyaze-volkonskoye,RU,48.4642,135.4567,97,No hotel found
193,lusambo,CD,-4.9667,23.45,30,No hotel found
194,shakawe,BW,-18.3667,21.85,23,Drotsky's Cabins
195,ulladulla,AU,-35.35,150.4667,87,Hotel Marlin
196,margate,GB,51.3813,1.3862,71,The Reading Rooms
197,makoua,CG,0.0069,15.6333,64,No hotel found
198,mammoth lakes,US,37.6485,-118.9721,17,Travelodge by Wyndham Mammoth Lakes
199,ilebo,CD,-4.3167,20.5833,47,Hôtel des Palmes
200,morant bay,JM,17.8815,-76.4093,69,Morant Villas
201,taitung city,TW,22.7583,121.1444,84,瑞軒民宿
202,mandvi,IN,22.8333,69.3667,83,rukmavati guest house
203,yemetsk,RU,63.4721,41.7941,98,No hotel found
204,donoratico,IT,43.168,10.5664,78,Hotel Cucciolo
205,taltal,CL,-25.4,-70.4833,72,Hostería Taltal
206,grand falls-windsor,CA,48.9332,-55.6649,80,Hotel Robin Hood
207,island harbour,GB,50.724,-1.2758,80,Premier Inn
208,magadan,RU,59.5667,150.8,91,Гостиница «ВМ-Центр»
209,fort liberte,HT,19.6678,-71.8397,58,BayahaHotel
210,aktau,KZ,43.65,51.2,49,Гульдана
211,ulsteinvik,NO,62.3432,5.8487,78,Quality Hotel Ulstein
212,stanley,GB,54.868,-1.6985,92,Hotel 52
213,minab,IR,27.1467,57.0801,70,هتل صدف
214,gadzhiyevo,RU,69.2551,33.3362,86,Оазис
215,tolanaro,MG,-25.0319,46.9987,83,Hôtel Mahavokey
216,aban,RU,56.67,96.06,97,No hotel found
217,ciudad lazaro cardenas,MX,17.9583,-102.2,49,Hotel Sol del Pacífico
218,namibe,AO,-15.1961,12.1522,77,Hotel Chik Chik Namibe
219,wailua homesteads,US,22.0669,-159.378,91,Hilton Garden Inn Kauai Wailua Bay
220,aasiaat,GL,68.7098,-52.8699,98,SØMA
221,maintirano,MG,-18.0667,44.0167,82,Hotel Safari
222,sunne,SE,59.8376,13.143,62,Broby Gästgivaregård
223,gadani,PK,25.1185,66.7299,87,No hotel found
224,bouna,CI,9.2667,-3.0,84,Hôtel Éléphant  Bouna
225,crasna,RO,47.1667,22.9,58,No hotel found
226,ulaangom,MN,49.9811,92.0667,47,АНДУУД
227,kingscliff,AU,-28.2667,153.5667,77,Kingscliff Beach Hotel
228,gbadolite,CD,4.2833,21.0167,74,No hotel found
229,crane,US,31.3974,-102.3501,26,No hotel found
230,newnham,AU,-41.3833,147.1333,96,Riverside Hotel Motel
231,coquimbo,CL,-29.9533,-71.3436,77,Hotel Iberia
232,wellington,NZ,-41.2866,174.7756,97,Travelodge
233,viedma,AR,-40.8135,-62.9967,48,Níjar
234,nieuw amsterdam,SR,5.8833,-55.0833,62,Leonsberg Lodge
235,sosnovo-ozerskoye,RU,52.5249,111.5418,79,Озёрная
236,ciudad bolivar,VE,8.1222,-63.5497,39,Paoca
237,batang,ID,-6.4846,110.7083,82,Palm Beach Hotel
238,al wajh,SA,26.2455,36.4525,89,فندق رالين 2
239,malicboy,PH,13.9789,121.7892,94,No hotel found
240,pocoes,BR,-14.5297,-40.3653,67,No hotel found
241,constantia,RO,44.1833,28.65,63,Hotel Chérica
242,san luis de la loma,MX,17.2706,-100.8939,53,No hotel found
243,san antonio de pale,GQ,-1.4014,5.6325,80,No hotel found
244,vorgashor,RU,67.5833,63.95,98,София
245,stabat,ID,3.761,98.4513,98,No hotel found
246,horsham,GB,51.064,-0.3272,60,Premier Inn
247,annaba,DZ,36.9,7.7667,52,فندق الهنا
248,avarua,CK,-21.2078,-159.775,100,Paradise Inn
249,zhangye,CN,38.9342,100.4517,19,Zhangye Hotel 张掖饭店
250,haiku-pauwela,US,20.9219,-156.3051,82,Inn At Mama's Fish House
251,kununurra,AU,-15.7667,128.7333,50,Kununurra Country Club Resort
252,yuzhno-kurilsk,RU,44.0306,145.8556,100,Dom Druzhby
253,hadibu,YE,12.65,54.0333,80,No hotel found
254,champerico,GT,14.3,-91.9167,66,Hotel y Restaurante El Submarino
255,port macquarie,AU,-31.4333,152.9167,81,The Observatory
256,farap,TM,39.1704,63.6116,18,Amyderýa Myhmanhanasy
257,greymouth,NZ,-42.4667,171.2,87,Recreation Hotel
258,whitehorse,CA,60.7161,-135.0538,88,Town & Mountain Hotel
259,harlingen,US,26.1906,-97.6961,63,Holiday Inn Express
260,kerema,PG,-7.9631,145.7785,81,No hotel found
261,marshall,US,34.3834,-86.3333,58,Wyndham Garden Lake-Guntersville
262,sylvan lake,CA,52.3168,-114.0853,69,Days Inn by Wyndham Sylvan Lake
263,chonchi,CL,-42.6128,-73.8092,71,Hotel Huildín
264,portel,BR,-1.9356,-50.8211,43,No hotel found
265,rongelap,MH,11.1635,166.8941,75,No hotel found
266,svetlyy,RU,54.675,20.1347,92,Гостиница Спортивная
